2024-03-25 10:17:00,112.112	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:01,794.794	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:03,834.834	ERROR	[main.py:48]	Config: #27
2024-03-25 10:17:03,834.834	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:05,831.831	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:07,521.521	ERROR	[main.py:48]	Config: #28
2024-03-25 10:17:07,522.522	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:08,893.893	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:10,552.552	ERROR	[main.py:48]	Config: #29
2024-03-25 10:17:10,552.552	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:11,853.853	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:13,542.542	ERROR	[main.py:48]	Config: #30
2024-03-25 10:17:13,542.542	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:15,681.681	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:17,339.339	ERROR	[main.py:48]	Config: #31
2024-03-25 10:17:17,339.339	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:19,500.500	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:17:21,620.620	ERROR	[main.py:48]	Config: #32
2024-03-25 10:17:21,620.620	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:17:23,217.217	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:21:46,866.866	ERROR	[main.py:48]	Config: #33
